date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-07-06,11155450,47876,39327,,,578590,2015,16131,294,93,45,479,1325026,479,1325026,151,347173,151,347173,4101,3610343,2761,,8600,1848461,2154,116418,18246,18246,18246
2021-07-05,11107570,25932,33279,,,578310,2118,16122,294,93,45,1105,1324547,1105,1324547,514,347022,514,347022,8517,3606242,6747,,16954,1839861,3867,114264,37704,37704,37704
2021-07-04,11081636,40875,40877,,,577982,2324,16110,1405,314,96,1433,1323442,1433,1323442,1009,346508,1009,346508,17691,3597725,15102,,42016,1822907,7372,110397,84623,84623,84623
2021-07-03,11040759,45146,44277,,,577624,2538,16103,1457,320,101,6379,1322009,6379,1322009,6024,345499,6024,345499,138242,3580034,92958,,307599,1780891,75324,103025,626526,626526,626526
2021-07-02,10995612,48363,48012,,,577256,2752,16086,1478,322,102,223,1315630,223,1315630,1456,339475,1456,339475,4659,3441792,7824,,12881,1473292,975,27701,28018,28018,28018
2021-07-01,10947245,51088,50768,,,576866,2961,16072,1471,334,105,454,1315407,454,1315407,1208,338019,1208,338019,5237,3437133,4460,,14729,1460411,1270,26726,27358,27358,27358
2021-06-30,10896152,48839,48559,,,576423,3134,16052,1501,339,103,1112,1314953,1112,1314953,555,336811,555,336811,8333,3431896,3215,,9245,1445682,1308,25456,23768,23768,23768
2021-06-29,10847309,51755,41529,,,575971,3347,16033,1509,359,106,1280,1313841,1280,1313841,569,336256,569,336256,10012,3423563,4100,,12193,1436437,1435,24148,29589,29589,29589
2021-06-28,10795548,31273,40573,,,575486,3639,16011,1560,381,114,2124,1312561,2124,1312561,771,335687,771,335687,14484,3413551,5405,,18990,1424244,1028,22713,42802,42802,42802
2021-06-27,10764272,51291,50995,,,574872,4020,15991,1602,383,120,1591,1310437,1591,1310437,382,334916,382,334916,18574,3399067,6924,,35008,1405254,1662,21685,64141,64141,64141
2021-06-26,10712980,56513,49027,,,574231,4376,15979,1628,373,120,3440,1308846,3440,1308846,2353,334534,2353,334534,39333,3380493,19516,,69166,1370246,4576,20023,138384,138384,138384
2021-06-25,10656459,41909,48561,,,573491,4832,15956,1676,373,114,2648,1305406,2648,1305406,2504,332181,2504,332181,32834,3341160,17389,,64591,1301080,3907,15447,123873,123873,123873
2021-06-24,10614550,55991,55977,,,572723,5274,15944,1730,390,127,2240,1302758,2240,1302758,1210,329677,1210,329677,27249,3308326,11749,,54735,1236489,3588,11540,100771,100771,100771
2021-06-23,10558558,57474,56825,,,572008,5641,15923,1804,419,157,2941,1300518,2941,1300518,1322,328467,1322,328467,19690,3281077,8878,,47564,1181754,2881,7952,83276,83276,83276
2021-06-22,10501071,55282,45131,,,571207,5968,15888,1813,438,155,1951,1297577,1951,1297577,1811,327145,1811,327145,35089,3261387,8733,,65032,1134190,2039,5071,114655,114655,114655
2021-06-21,10445775,32841,42770,,,570327,6477,15854,1861,437,156,3608,1295626,3608,1295626,1453,325334,1453,325334,26562,3226298,5834,,54778,1069158,989,3032,93224,93224,93224
2021-06-20,10412909,56872,58351,,,569056,7421,15826,1896,442,168,6309,1292018,6309,1292018,1063,323881,1063,323881,21520,3199736,5027,,62954,1014380,361,2043,97234,97234,97234
