date,cases_new,cases_total,recovered_new,recovered_total,deaths_new,deaths_total,cases_in_isolation,state_CFR,national_CFR,state_recovery_rate,national_recovery_rate
09-09-2021,315,660786,340,651425,2,3891,5470,0.58,1.3,98.58,97.45
10-09-2021,220,661006,338,651763,1,3892,5351,0.58,1.3,98.6,97.46
11-09-2021,296,661302,322,652085,1,3893,5324,0.58,1.3,98.6,97.45
12-09-2021,249,661551,313,652398,2,3895,5258,0.58,1.3,98.61,97.48
13-09-2021,315,661866,318,652716,2,3897,5253,0.58,1.3,98.61,97.51
14-09-2021,336,662202,306,653022,1,3898,5282,0.58,1.3,98.61,97.56
15-09-2021,324,662526,280,653302,1,3899,5325,0.58,1.3,98.6,97.59
16-09-2021,259,662785,301,653603,1,3900,5282,0.58,1.3,98.61,97.61
17-09-2021,241,663026,298,653901,2,3902,5223,0.58,1.3,98.62,97.63
18-09-2021,255,663281,329,654230,1,3903,5148,0.58,1.3,98.63,97.62
19-09-2021,173,663454,315,654545,1,3904,5005,0.58,1.3,98.65,97.65
20-09-2021,208,663662,220,654765,2,3906,4991,0.58,1.3,98.65,97.69
21-09-2021,244,663906,296,655061,1,3907,4938,0.58,1.3,98.66,97.72
22-09-2021,258,664164,249,655310,1,3908,4946,0.58,1.3,98.66,97.74
24-09-2021,239,664650,336,655961,2,3911,4778,0.58,1.3,98.69,97.75
25-09-2021,248,664898,324,656285,1,3912,4701,0.58,1.3,98.7,97.75
27-09-2021,216,665284,241,656785,2,3914,4585,0.58,1.3,98.72,97.76
28-09-2021,220,665504,255,657040,1,3915,4549,0.58,1.3,98.72,97.78
29-09-2021,245,665749,173,657213,1,3916,4620,0.58,1.3,98.71,97.81
30-09-2021,214,665963,208,657421,2,3918,4624,0.58,1.3,98.71,97.82
01-10-2021,220,666183,244,657665,1,3919,4599,0.58,1.3,98.72,97.83
02-10-2021,201,666384,258,657923,1,3920,4541,0.58,1.3,98.73,97.84
03-10-2021,162,666546,247,658170,1,3921,4455,0.58,1.3,98.74,97.85
04-10-2021,207,666753,239,658409,2,3923,4421,0.58,1.3,98.74,97.86
05-10-2021,218,666971,248,658657,1,3924,4390,0.58,1.3,98.75,97.9
06-10-2021,187,667158,170,658827,1,3925,4406,0.58,1.3,98.75,97.92
07-10-2021,176,667334,216,659043,1,3926,4365,0.58,1.3,98.75,97.93
08-10-2021,201,667535,220,659263,1,3927,4345,0.58,1.3,98.76,97.94
09-10-2021,190,667725,245,659508,2,3929,4288,0.58,1.3,98.76,97.95
10-10-2021,162,667887,214,659722,1,3930,4235,0.58,1.3,98.77,97.96
11-10-2021,183,668070,220,659942,2,3932,4196,0.58,1.3,98.78,97.98
12-10-2021,196,668266,201,660143,1,3933,4190,0.58,1.3,98.78,98.01
13-10-2021,184,668450,162,660305,1,3934,4211,0.58,1.3,98.78,98.04
14-10-2021,168,668618,207,660512,1,3935,4171,0.58,1.3,98.78,98.04
15-10-2021,104,668722,218,660730,1,3936,4056,0.58,1.3,98.8,98.05
16-10-2021,111,668833,187,660917,1,3937,3979,0.58,1.3,98.81,98.07
17-10-2021,122,668955,176,661093,1,3938,3924,0.58,1.3,98.82,98.07
19-10-2021,202,669365,190,661484,1,3941,3940,0.58,1.3,98.82,98.11
20-10-2021,191,669556,162,661646,1,3942,3968,0.58,1.3,98.81,98.13
21-10-2021,183,669739,183,661829,1,3943,3967,0.58,1.3,98.81,98.12
22-10-2021,193,669932,196,662025,1,3944,3963,0.58,1.3,98.81,98.13
23-10-2021,207,670139,184,662209,2,3946,3984,0.59,1.3,98.81,98.14
25-10-2021,179,670453,104,662481,2,3949,4023,0.59,1.3,98.81,98.15
26-10-2021,190,670643,111,662592,1,3950,4101,0.58,1.3,98.79,98.17
27-10-2021,186,670829,122,662714,1,3951,4164,0.58,1.3,98.79,98.17
28-10-2021,171,671000,208,662922,1,3952,4126,0.58,1.3,98.79,98.17
13-11-2021,157,673469,156,665755,1,3973,3741,,0.58,,98.85
14-11-2021,105,673574,106,665861,0,3973,3740,,0.58,,98.85
15-11-2021,148,673722,151,666012,2,3975,3735,,,,98.85
16-11-2021,167,673889,164,666176,1,3976,3737,,,,98.85
18-11-2021,144,674181,161,666509,1,3978,3694,,,,98.86
19-11-2021,137,674318,173,666682,1,3979,3657,,,,98.86
20-11-2021,134,674452,164,666846,1,3980,3626,,,,98.87
21-11-2021,103,674555,153,666999,1,3981,3575,,,,98.87
22-11-2021,137,674692,172,667171,2,3983,3538,,,,98.88
23-11-2021,153,674845,157,667328,2,3984,3533,,,,98.88
24-11-2021,156,675001,155,667483,1,3985,3533,,,,98.88
25-11-2021,147,675148,148,667631,1,3986,3531,,,,98.88
26-11-2021,171,675319,167,667798,1,3987,3534,,,,98.88
27-11-2021,160,675479,148,667946,1,3988,3545,,,,98.88
28-11-2021,135,675614,144,668090,1,3989,3535,,,,98.88
29-11-2021,184,675798,137,668227,1,3990,3581,,,,98.87
01-12-2021,193,676187,153,668564,1,3993,3630,,,,98.87
02-12-2021,189,676376,137,668701,2,3995,3680,,,,98.86
06-12-2021,195,677138,171,669328,1,4000,3810,,0.59,,98.84
07-12-2021,203,677341,160,669488,1,4001,3852,,0.59,,98.84
08-12-2021,205,677546,185,669673,1,4002,3871,,0.59,,98.83
09-12-2021,201,677747,184,669857,1,4003,3887,,0.59,,98.83
10-12-2021,207,677954,196,670053,1,4004,3897,,0.59,,98.83
11-12-2021,188,678142,193,670246,1,4005,3891,,0.59,,98.83
12-12-2021,146,678288,189,670435,2,4007,3846,,0.59,,98.84
13-12-2021,190,678478,198,670633,1,4008,3837,,0.59,,98.84
14-12-2021,210,678688,213,670846,1,4009,3833,,0.59,,98.84
15-12-2021,186,678874,206,671052,1,4010,3812,,0.59,,98.84
16-12-2021,190,679064,195,671247,2,4012,3805,,0.59,,98.84
17-12-2021,181,679245,203,671450,1,4013,3782,,0.59,,98.84
18-12-2021,185,679430,205,671655,1,4014,3761,,0.59,,98.85
19-12-2021,134,679564,201,671856,1,4015,3693,,0.59,,98.86
20-12-2021,156,679720,207,672063,0,4015,3642,,0.59,,98.87
21-12-2021,172,679892,188,672251,1,4016,3625,,0.59,,98.87
22-12-2021,182,680074,196,672447,1,4017,3610,,0.59,,98.87
23-12-2021,177,680251,190,672637,1,4018,3596,,0.59,,98.88
24-12-2021,162,680413,210,672847,1,4019,3547,,0.59,,98.83
25-12-2021,140,680553,186,673033,2,4021,3499,,0.59,,98.89
26-12-2021,109,680662,190,673223,1,4022,3417,,0.59,,98.9
27-12-2021,182,680844,181,673404,1,4023,3417,,0.59,,98.9
28-12-2021,228,681072,185,673589,1,4024,3459,,0.59,,98.9
29-12-2021,235,681307,204,673793,0,4024,3490,,0.59,,98.89
30-12-2021,280,681587,206,673999,1,4025,3563,,0.59,,98.88
31-12-2021,311,681898,222,674221,2,4027,3650,,0.59,,98.87
01-01-2022,317,682215,232,674453,2,4029,3733,,0.59,,98.86
02-01-2022,274,682489,227,674680,1,4030,3779,,0.59,,98.85
03-01-2022,482,682971,212,674892,1,4031,4048,,0.59,,98.81
04-01-2022,1052,684023,240,675132,2,4033,4858,,0.58,,98.7
05-01-2022,1520,685543,209,675341,1,4034,6168,,0.58,,98.51
