date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
23-07-2021,842,1522103,1491958,942,18056,16,12089,-116,98.02,1.19%
22-07-2021,793,1521261,1491016,966,18040,13,12205,-186,98.01,1.19%
21-07-2021,869,1520468,1490050,981,18027,6,12391,-118,98,1.19%
20-07-2021,752,1519599,1489069,992,18021,10,12509,-250,97.99,1.19%
19-07-2021,666,1518847,1488077,1006,18011,12,12759,-352,97.97,1.19%
18-07-2021,801,1518181,1487071,1012,17999,11,13111,-222,97.95,1.19%
17-07-2021,899,1517380,1486059,1042,17988,8,13333,-151,97.94,1.19%
16-07-2021,882,1516481,1485017,1025,17980,10,13484,-153,97.93,1.19%
15-07-2021,891,1515599,1483992,1089,17970,12,13637,-210,97.91,1.19%
14-07-2021,831,1513845,1482903,1161,17958,14,12984,-344,97.96,1.19%
13-07-2021,863,1513877,1481742,1186,17944,17,14191,-340,97.88,1.19%
12-07-2021,885,1513014,1480556,1244,17927,11,14531,-370,97.85,1.18%
11-07-2021,924,1512129,1479312,1314,17916,13,14901,-403,97.83,1.18%
10-07-2021,997,1511205,1477998,1336,17903,17,15304,-386,97.8,1.18%
09-07-2021,990,1510208,1476632,1424,17886,19,15690,-453,97.78,1.18%
08-07-2021,995,1509218,1475208,1490,17867,17,16143,-512,97.75,1.18%
07-07-2021,982,1508223,1473718,1586,17850,16,16655,-620,97.71,1.18%
06-07-2021,962,1507241,1472132,1620,17834,17,17275,-675,97.67,1.18%
05-07-2021,885,1506279,1470512,1697,17817,18,17950,-830,97.63,1.18%
04-07-2021,1297,1505394,1468815,1777,17799,20,18780,-500,97.57,1.18%
03-07-2021,1391,1504097,1467038,1819,17779,21,19280,-449,97.54,1.18%
02-07-2021,1422,1502706,1465219,1840,17758,23,19729,-441,97.51,1.18%
01-07-2021,1501,1501284,1463379,1889,17735,27,20170,-415,97.48,1.18%
30-06-2021,1478,1499783,1461490,1980,17708,29,20585,-531,97.45,1.18%
29-06-2021,1595,1498305,1459510,2024,17679,35,21116,-464,97.41,1.18%
28-06-2021,1761,1496710,1457486,2033,17644,32,21580,-304,97.38,1.18%
27-06-2021,1836,1494949,1455453,2022,17612,29,21884,-215,97.36,1.18%
26-06-2021,1894,1493113,1453431,1994,17583,32,22099,-132,97.34,1.18%
25-06-2021,1933,1491219,1451437,1975,17551,35,22231,-77,97.33,1.18%
24-06-2021,1923,1489286,1449462,1952,17516,41,22308,-70,97.33,
23-06-2021,1925,1487363,1447510,2017,17475,38,22378,-130,97.32,
22-06-2021,1852,1485438,1445493,2037,17437,47,22508,-232,97.31,
21-06-2021,1879,1483586,1443456,2113,17390,42,22740,-276,97.3,
20-06-2021,2184,1481707,1441343,2128,17348,53,23016,3,97.28,
19-06-2021,2486,1479523,1439215,2109,17295,55,23013,322,97.28,
18-06-2021,2788,1477037,1437106,2112,17240,58,22691,618,97.3,
17-06-2021,3018,1474249,1434994,2033,17182,64,22073,921,97.34,
16-06-2021,3187,1471231,1432961,2012,17118,69,21152,1106,97.4,
15-06-2021,3268,1468044,1430949,2068,17049,75,20046,1125,97.47,
14-06-2021,3519,1464776,1428881,2171,16974,78,18921,1270,97.55,
13-06-2021,3984,1461257,1426710,2497,16896,84,17651,1403,97.64,
12-06-2021,4286,1457273,1424213,3149,16812,81,16248,1056,97.73,
11-06-2021,4883,1452987,1421064,4321,16731,89,15192,473,97.8,
10-06-2021,5274,1448104,1416743,5170,16642,87,14719,17,97.83,
09-06-2021,5384,1442830,1411573,10512,16555,95,14702,-5223,97.83,
08-06-2021,5427,1437446,1401061,12290,16460,98,19925,-6961,97.47,
07-06-2021,5887,1432019,1388771,14352,16362,103,26886,-8568,96.98,
06-06-2021,7002,1426132,1374419,15882,16259,107,35454,-8987,96.37,
05-06-2021,7682,1419130,1358537,16146,16152,118,44441,-8582,95.73,
