,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,people_per_hospital,covid_beds_for_population,icu_hdu_beds_for_population,ventilators_for_population,people_per_hospital_per_million,covid_beds_per_million,icu_hdu_beds_per_million,ventilators_per_million
50,02-08-2021,203.0,196,7.0,23947.0,3.83,2861,200.0,11507.0,,,9146.0,,1278.0,379.0,Monday,August2021,2021,20210802,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
49,03-08-2021,203.0,196,7.0,23947.0,3.76,2861,200.0,11507.0,,,9157.0,,1244.0,366.0,Tuesday,August2021,2021,20210803,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
48,04-08-2021,203.0,196,7.0,23947.0,3.56,2861,200.0,11507.0,,,9192.0,,1178.0,375.0,Wednesday,August2021,2021,20210804,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
47,05-08-2021,203.0,196,7.0,23947.0,3.81,2861,200.0,11507.0,,,9134.0,,1237.0,350.0,Thursday,August2021,2021,20210805,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
46,06-08-2021,203.0,196,7.0,23947.0,3.85,2861,200.0,11507.0,,,9108.0,,1232.0,302.0,Friday,August2021,2021,20210806,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
45,07-08-2021,203.0,196,7.0,23947.0,3.66,2861,200.0,11507.0,,,9090.0,,1181.0,314.0,Saturday,August2021,2021,20210807,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
44,08-08-2021,203.0,196,7.0,23947.0,3.42,2861,200.0,11507.0,,,9051.0,,1116.0,318.0,Sunday,August2021,2021,20210808,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
43,09-08-2021,203.0,196,7.0,23947.0,3.95,2861,200.0,11507.0,,,8766.0,,1237.0,309.0,Monday,August2021,2021,20210809,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
42,10-08-2021,203.0,196,7.0,23947.0,3.8,2861,200.0,11507.0,,,8724.0,,1192.0,299.0,Tuesday,August2021,2021,20210810,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
41,11-08-2021,203.0,196,7.0,23947.0,3.79,2861,200.0,11507.0,,,8669.0,,1200.0,294.0,Wednesday,August2021,2021,20210811,443349.7536945813,3758.2995782352696,31457.532331352675,,4926.108374384236,41.758884202614105,349.52813701502976,
