date,district,deaths_reported,death_through_appeal,pending_deaths,death_cases_approved
26-10-2021,Malappuram,6,0,0,6
26-10-2021,Kozhikode,7,0,1,8
26-10-2021,Wayanad,2,0,1,3
26-10-2021,Kannur,1,0,0,1
26-10-2021,Kasaragod,0,4,1,5
26-10-2021,total,90,51,341,482
27-10-2021,Thiruvananthapuram,10,0,1,11
27-10-2021,Kollam,3,57,0,60
27-10-2021,Pathanamthitta,1,0,0,1
27-10-2021,Alappuzha,13,10,0,23
27-10-2021,Kottayam,5,0,0,5
27-10-2021,Idukki,0,0,0,0
27-10-2021,Ernakulam,9,0,90,99
27-10-2021,Thrissur,16,68,78,162
27-10-2021,Palakkad,8,0,23,31
27-10-2021,Malappuram,2,0,5,7
27-10-2021,Kozhikode,14,59,127,200
27-10-2021,Wayanad,0,0,0,0
27-10-2021,Kannur,12,0,6,18
27-10-2021,Kasaragod,0,5,0,5
27-10-2021,total,93,199,330,622
28-10-2021,Thiruvananthapuram,4,0,6,10
28-10-2021,Kollam,12,66,0,78
28-10-2021,Pathanamthitta,1,0,1,2
28-10-2021,Alappuzha,2,0,55,57
28-10-2021,Kottayam,5,0,0,5
28-10-2021,Idukki,0,23,0,23
28-10-2021,Ernakulam,13,0,11,24
28-10-2021,Thrissur,4,0,0,4
28-10-2021,Palakkad,7,0,39,46
28-10-2021,Malappuram,4,0,17,21
28-10-2021,Kozhikode,3,15,249,267
28-10-2021,Wayanad,1,0,1,2
28-10-2021,Kannur,0,0,163,163
28-10-2021,Kasaragod,0,6,0,6
28-10-2021,total,56,110,542,708
29-10-2021,Thiruvananthapuram,14,0,0,14
29-10-2021,Kollam,3,0,0,3
29-10-2021,Pathanamthitta,5,34,0,39
29-10-2021,Alappuzha,6,47,0,53
29-10-2021,Kottayam,7,0,1,8
29-10-2021,Idukki,9,20,0,29
29-10-2021,Ernakulam,13,0,191,204
29-10-2021,Thrissur,5,0,6,11
29-10-2021,Palakkad,10,0,0,10
29-10-2021,Malappuram,3,0,0,3
29-10-2021,Kozhikode,6,0,0,6
29-10-2021,Wayanad,0,0,0,0
29-10-2021,Kannur,5,6,70,81
29-10-2021,Kasaragod,0,2,8,10
29-10-2021,total,86,109,276,471
30-10-2021,Thiruvananthapuram,5,0,0,5
30-10-2021,Kollam,9,0,0,9
30-10-2021,Pathanamthitta,4,0,1,5
30-10-2021,Alappuzha,1,34,0,35
30-10-2021,Kottayam,9,0,0,9
30-10-2021,Idukki,0,0,0,0
30-10-2021,Ernakulam,7,0,229,236
30-10-2021,Thrissur,5,0,22,27
30-10-2021,Palakkad,5,0,0,5
30-10-2021,Malappuram,7,0,2,9
30-10-2021,Kozhikode,3,0,0,3
30-10-2021,Wayanad,0,0,0,0
30-10-2021,Kannur,7,5,0,12
30-10-2021,Kasaragod,0,0,3,3
30-10-2021,total,62,39,257,358
31-10-2021,Thiruvananthapuram,1,0,0,1
31-10-2021,Kollam,0,0,0,0
31-10-2021,Pathanamthitta,0,0,2,2
31-10-2021,Alappuzha,0,0,1,1
31-10-2021,Kottayam,5,0,0,5
31-10-2021,Idukki,0,0,1,1
31-10-2021,Ernakulam,4,0,7,11
31-10-2021,Thrissur,0,0,59,59
31-10-2021,Palakkad,1,0,15,16
31-10-2021,Malappuram,0,0,48,48
31-10-2021,Kozhikode,3,7,13,23
31-10-2021,Wayanad,0,0,0,0
31-10-2021,Kannur,0,0,0,0
31-10-2021,Kasaragod,0,0,0,0
31-10-2021,total,14,7,146,167
02-11-2021,Thiruvananthapuram,4,0,0,4
02-11-2021,Kollam,7,0,0,7
02-11-2021,Pathanamthitta,0,0,0,0
02-11-2021,Alappuzha,2,0,0,2
02-11-2021,Kottayam,1,0,0,1
02-11-2021,Idukki,0,0,0,0
02-11-2021,Ernakulam,8,55,35,98
02-11-2021,Thrissur,4,0,3,7
02-11-2021,Palakkad,4,0,10,14
02-11-2021,Malappuram,5,0,7,12
02-11-2021,Kozhikode,8,0,0,8
02-11-2021,Wayanad,2,0,0,2
02-11-2021,Kannur,0,0,31,31
02-11-2021,Kasaragod,0,0,1,1
02-11-2021,total,45,55,87,187
03-11-2021,Thiruvananthapuram,5,26,0,31
03-11-2021,Kollam,3,56,0,59
03-11-2021,Pathanamthitta,4,0,0,4
03-11-2021,Alappuzha,3,0,0,3
03-11-2021,Kottayam,0,0,0,0
03-11-2021,Idukki,3,13,0,16
03-11-2021,Ernakulam,8,0,52,60
03-11-2021,Thrissur,5,139,0,144
03-11-2021,Palakkad,12,1,0,13
03-11-2021,Malappuram,5,0,5,10
03-11-2021,Kozhikode,3,0,0,3
03-11-2021,Wayanad,0,0,0,0
03-11-2021,Kannur,0,0,8,8
03-11-2021,Kasaragod,0,4,7,11
03-11-2021,total,51,239,72,362
04-11-2021,Thiruvananthapuram,1,0,0,1
04-11-2021,Kollam,1,53,0,54
04-11-2021,Pathanamthitta,2,0,0,2
04-11-2021,Alappuzha,0,3,0,3
04-11-2021,Kottayam,14,0,0,14
04-11-2021,Idukki,0,0,0,0
04-11-2021,Ernakulam,7,0,13,20
04-11-2021,Thrissur,0,0,0,0
04-11-2021,Palakkad,14,0,0,14
04-11-2021,Malappuram,4,0,1,5
04-11-2021,Kozhikode,6,0,0,6
04-11-2021,Wayanad,4,0,0,4
04-11-2021,Kannur,0,0,0,0
04-11-2021,Kasaragod,2,4,7,13
04-11-2021,total,55,60,21,136
05-11-2021,Thiruvananthapuram,4,0,0,4
05-11-2021,Kollam,6,0,0,6
05-11-2021,Pathanamthitta,2,0,0,2
05-11-2021,Alappuzha,5,25,0,30
05-11-2021,Kottayam,0,0,0,0
05-11-2021,Idukki,7,0,0,7
05-11-2021,Ernakulam,10,1,89,100
05-11-2021,Thrissur,4,0,31,35
05-11-2021,Palakkad,0,0,4,4
05-11-2021,Malappuram,3,0,25,28
05-11-2021,Kozhikode,4,64,0,68
05-11-2021,Wayanad,0,0,0,0
05-11-2021,Kannur,0,16,5,21
05-11-2021,Kasaragod,1,5,3,9
05-11-2021,total,46,111,157,314
06-11-2021,Thiruvananthapuram,6,0,0,6
06-11-2021,Kollam,21,73,0,94
06-11-2021,Pathanamthitta,3,60,0,63
06-11-2021,Alappuzha,0,29,0,29
06-11-2021,Kottayam,5,35,0,40
06-11-2021,Idukki,0,0,0,0
06-11-2021,Ernakulam,7,26,105,138
06-11-2021,Thrissur,2,0,0,2
06-11-2021,Palakkad,3,6,0,9
06-11-2021,Malappuram,2,0,20,22
06-11-2021,Kozhikode,1,0,60,61
06-11-2021,Wayanad,0,0,0,0
06-11-2021,Kannur,0,2,0,2
06-11-2021,Kasaragod,0,0,1,1
06-11-2021,total,50,231,186,467
07-11-2021,Thiruvananthapuram,4,0,0,4
07-11-2021,Kollam,2,0,0,2
07-11-2021,Pathanamthitta,0,0,0,0
07-11-2021,Alappuzha,0,0,0,0
07-11-2021,Kottayam,0,0,0,0
