"date	total_vax_today	first_dose_today	second_dose_today	cumulative_vax	cumulative_vax_first_dose	cumulative_vax_sec_dose	cvc_count	aefi_cases	vax_wastage"
"2021-11-05	146032	96917	49115	80249821	57921340	22328481		5235	-7"
"2021-11-06	393695	242641	151054	80643516	58163981	22479535		5238	-7"
"2021-11-07	56533	28920	27613	80700049	58192901	22507148		5248	-7"
"2021-11-08	152903	95918	56985	80852952	58288819	22564133		5250	-7"
"2021-11-09	943462	517172	426290	81796414	58805991	22990423		5291	-7"
"2021-11-11	468816	226233	242583	82968979	59381529	23587450		5337	-7"
"2021-11-10	703749	349305	354444	82500163	59155296	23344867		5318	-7"
"2021-11-12	282727	110950	171777	83251706	59492479	23759227		5344	-7"
"2021-11-13	524264	236790	287474	83775970	59729269	24046701		5376	-7"
"2021-11-14	376244	175579	200665	84152214	59904848	24247366		5409	-7"
"2021-11-15	98632	57900	40732	84250846	59962748	24288098		5411	-7"
"2021-11-16	660287	341351	318936	84911133	60304099	24607034		5424	-7"
"2021-11-19	326204	126453	199751	86259333	60879430	25379903		5543	-7"
"2021-11-18	459335	194636	264699	85933129	60752977	25180152		5469	-7"
"2021-11-17	562661	254242	308419	85473794	60558341	24915453		5456	-7"
"2021-11-20	417948	187534	230414	86677281	61066964	25610317		5552	-7"
"2021-11-21	530380	246274	284106	87207661	61313238	25894423		5564	-7"
"2021-11-22	144699	88496	56203	87352360	61401734	25950626		5580	-7"
"2021-11-23	658458	277279	381179	88010818	61679013	26331805		5605	-7"
"2021-11-24	720168	245178	474990	88730986	61924191	26806795		5632	-7"
"2021-11-25	650839	221054	429785	89381825	62145245	27236580		5651	-7"
"2021-11-26	521646	163579	358067	89903471	62308824	27594647		5659	-7"
"2021-11-27	677930	213575	464355	90581401	62522399	28059002		5687	-7"
"2021-11-28	534764	189919	344845	91116165	62712318	28403847		5694	-7"
"2021-11-29	207559	99581	107978	91323724	62811899	28511825		5696	-7"
"2021-11-30	639459	188898	450561	91963183	63000797	28962386		5718	-7"
"2021-12-01	553323	160532	392791	92516506	63161329	29355177		5733	-7"
"2021-12-02	313417	79700	233717	92829923	63241029	29588894		5745	-7"
"2021-12-03	491547	106443	385104	93321470	63347472	29973998		5750	-7"
"2021-12-04	528950	110198	418752	93850420	63457670	30392750		5762	-7"
"2021-12-05	341625	65107	276518	94192045	63522777	30669268		5781	-7"
"2021-12-06	75304	21075	54229	94267349	63543852	30723497		5781	-7"
"2021-12-07	466328	68771	397557	94733677	63612623	31121054		5788	-7"
"2021-12-08	448929	71798	377131	95182606	63684421	31498185		5795	-7"
"2021-12-09	352989	57404	295585	95535595	63741825	31793770		5821	-7"
"2021-12-10	234296	39511	194785	95769891	63781336	31988555		5857	-7"
"2021-12-11	358605	52205	306400	96128496	63833541	32294955		5867	-7"
"2021-12-13	51164	6242	44922	96563516	63876985	32686531		5884	-7"
"2021-12-12	383856	37202	346654	96512352	63870743	32641609		5884	-7"
"2021-12-14	573851	48537	525314	97137367	63925522	33211845		5892	-7"
"2021-12-15	517276	40391	476885	97654643	63965913	33688730		5911	-7"
"2021-12-16	424017	35008	389009	98078660	64000921	34077739		5936	-7"
"2021-12-17	275504	27593	247911	98354164	64028514	34325650		6035	-7"
"2021-12-20	65089	4584	60505	99407777	64104682	35303095		6058	-7"
"2021-12-19	416275	30627	385648	99342688	64100098	35242590		6058	-7"
"2021-12-18	572249	40957	531292	98926413	64069471	34856942		6053	-7"
"2021-12-21	547483	38120	509363	99955260	64142802	35812458		6074	-7"
"2021-12-22	424802	31801	393001	100380062	64174603	36205459		6090	-7"
"2021-12-23	404655	28044	376611	100784717	64202647	36582070		6095	-7"
"2021-12-24	288610	24525	264085	101073327	64227172	36846155		6115	-7"
"2021-12-25	499681	35461	464220	101573008	64262633	37310375		6130	-7"
"2021-12-26	31430	2442	28988	101604438	64265075	37339363		6130	-7"
"2021-12-27	32859	2676	30183	101637297	64267751	37369546		6136	-7"
"2021-12-28	510543	35761	474782	102147840	64303512	37844328		6148	-7"
"2021-12-29	489578	33246	456332	102637418	64336758	38300660		6160	-7"
"2021-12-30	421441	27256	394185	103058859	64364014	38694845		6168	-7"
"2021-12-31	494298	29586	464712	103553157	64393600	39159557		6176	-7"
"2022-01-01	585808	32936	552872	104138965	64426536	39712429		6182	-7"
"2022-01-02	101363	4679	96684	104240328	64431215	39809113		6182	-7"
"2022-01-03	52548	3540	49008	104292876	64434755	39858121		6184	-7"
"2022-01-04	849781	200407	649374	105142657	64635162	40507495		6241	-7"
"2022-01-05	865732	284229	581503	106008389	64919391	41088998		6289	-7"
