date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2021-01-20,153,10852,2019442,95192,90264,1622,2005,
2021-01-19,116,13012,2005841,95039,90133,1619,1992,1882
2021-01-18,120,12016,1995328,94923,89882,1617,2136,1961
2021-01-17,112,5872,1983478,94803,89552,1611,2354,
2021-01-16,226,11424,1974851,94691,89454,1606,2349,
2021-01-15,141,11795,1958238,94465,89182,1602,2406,
2021-01-14,154,8825,1947524,94324,88948,1596,2510,
2021-01-13,209,10442,1939315,94170,88761,1593,2552,
2021-01-12,184,11963,1928509,93961,88472,1589,2643,
2021-01-11,156,11217,1915738,93777,88196,1578,2753,
2021-01-10,223,6623,1905558,93621,87673,1573,3130,
2021-01-09,287,11286,1894977,93398,87370,1568,3215,
2021-01-08,269,12913,1881487,93111,87127,1562,3179,
2021-01-07,249,11374,1867428,92842,86737,1555,3309,
2021-01-06,227,11159,1856630,92593,86298,1549,3515,
2021-01-05,254,11678,1842877,92366,85883,1544,3717,
2021-01-04,301,11476,1830267,92112,85400,1535,3966,
2021-01-03,267,6526,1817112,91811,84705,1527,4376,
2021-01-02,263,10917,1805057,91544,84461,1522,4364,
2021-01-01,361,11965,1791371,91281,83998,1515,4577,
2020-12-31,304,13422,1777371,90920,83506,1509,4719,
2020-12-30,449,13573,1764992,90616,82967,1504,4963,
2020-12-29,317,13541,1749909,90167,82243,1495,5256,
2020-12-28,205,11920,1734682,89850,81688,1489,5511,
2020-12-27,427,9210,1722827,89645,81383,1483,5625,
2020-12-26,374,12770,1711094,89218,81154,1476,5444,
2020-12-25,468,12716,1695770,88844,80738,1463,5510,
2020-12-24,436,12789,1681063,88376,80467,1458,5331,
2020-12-23,564,14742,1666855,87940,79888,1447,5507,
2020-12-22,611,15136,1650000,87376,79341,1439,5512,
2020-12-21,448,13612,1633039,86765,78686,1426,5584,
2020-12-20,464,9112,1616842,86317,77673,1413,6177,
2020-12-19,584,15238,1602656,85853,77326,1408,6074,
2020-12-18,580,15646,1586410,85269,76770,1399,6067,
2020-12-17,620,14427,1567251,84689,76223,1384,6062,
2020-12-16,567,14237,1553462,84069,75547,1375,6140,
2020-12-15,496,14902,1540117,83502,75049,1372,6089,
2020-12-14,577,14154,1527416,83006,74525,1361,6144,
2020-12-13,490,8320,1514002,82429,73818,1355,6293,
2020-12-12,728,12795,1503731,81939,73422,1351,6207,
2020-12-11,725,14975,1489651,81211,72987,1341,5934,
2020-12-10,830,12618,1475936,80486,72479,1332,5742,
2020-12-09,515,14714,1464857,79656,71966,1320,5456,
2020-12-08,632,12816,1453671,79141,71541,1307,5399,
2020-12-07,512,13660,1437538,78509,71105,1295,5234,
2020-12-06,424,7786,1424389,77997,70634,1285,5223,
2020-12-05,680,13727,1409056,77573,70288,1281,5176,
2020-12-04,618,14358,1396331,76893,69831,1273,4994,
2020-12-03,491,12904,1380312,76275,69271,1263,4967,
2020-12-02,516,13587,1367575,75784,68838,1251,4955,
2020-12-01,473,13956,1352453,75268,68365,1238,4947,
2020-11-11,783,10887,1144534,66788,60900,1086,4251,
2020-11-12,451,9743,1155651,67239,61432,1093,4156,
2020-11-13,467,7808,1167497,67706,61732,1097,4307,
2020-11-14,296,3198,1171730,68002,61896,1102,4417,
2020-11-15,213,3620,1175816,68215,61950,1107,4565,
2020-11-16,243,6475,1183449,68458,62555,1116,4184,
2020-11-17,429,11162,1192023,68887,62995,1119,4165,
2020-11-18,420,11959,1202152,69307,63420,1128,4147,
2020-11-19,386,13088,1212717,69693,63808,1133,4133,
2020-11-20,512,13048,1224223,70205,64393,1138,4051,
2020-11-21,585,12262,1236008,70790,64851,1146,4166,
2020-11-22,466,6884,1245090,71256,65102,1155,4368,
2020-11-23,376,13176,1256524,71632,65530,1162,4298,
2020-11-24,528,13151,1267525,72160,65703,1180,4631,
2020-11-25,482,12021,1277786,72642,66147,1185,4658,
2020-11-26,355,13470,1288946,72997,66464,1196,4682,
2020-11-27,530,14649,1301968,73527,66855,1201,4812,
2020-11-28,424,13645,1315525,73951,67197,1214,4876,
2020-11-29,389,8523,1327314,74340,67475,1222,4970,
2020-11-30,455,10666,1340279,74795,67827,1231,5059,
2021-03-31,293,15743,2739909,100411,95330,1717,1863,2426
2021-03-30,128,8092,2728555,100118,95212,1713,1696,1779
2021-03-29,109,3100,2719648,99990,95065,1711,1724,
2021-03-28,366,7627,2714881,99881,95025,1709,1660,389
2021-03-27,257,11477,2699095,99515,94983,1709,1339,2038
2021-03-26,186,12352,2692394,99258,94916,1708,1162,2520
2021-03-25,192,11329,2678962,99072,94755,1707,1150,2700
2021-03-24,200,10608,2669701,98880,94634,1706,1112,2545
2021-03-23,94,11778,2657619,98646,94585,1706,930,4871
2021-03-22,104,11610,2643518,98552,94533,1704,894,7405
2021-03-21,137,10024,2631682,98448,94462,1704,861,298
2021-03-20,83,14603,2621706,98311,94430,1704,756,2992
2021-03-19,99,12578,2610397,98228,94380,1704,728,6606
2021-03-18,88,10965,2599595,98129,94311,1704,698,8948
2021-03-17,110,9730,2590074,98041,94250,1704,672,1442
2021-03-16,65,9021,2577879,97931,94215,1704,599,8539
2021-03-15,60,9957,2569444,97866,94168,1704,581,6960
2021-03-14,52,9382,2560427,97806,94082,1703,609,749
2021-03-13,54,16768,2551295,97754,94058,1702,583,5608
2021-03-12,66,29743,2536247,97700,93952,1700,638,8400
