date,general_queries_24h,general_queries_cum,consultations_24h,consultations_total,ambulances_assigned_24h,ambulance_calls_24h,telepsych_counselling_24h,telepsych_counselling_total
25-02-2021,746,1566697,245,580381,23,,290,289312
24-02-2021,751,1565946,248,580133,22,,297,289015
23-02-2021,743,1565203,243,579890,25,,295,288720
22-02-2021,726,1564477,251,579639,26,,292,288428
21-02-2021,732,1563745,255,579384,25,,290,288138
20-02-2021,738,1563007,258,579126,26,,292,287846
19-02-2021,742,1562265,252,578874,28,,297,287549
18-02-2021,732,1561533,255,578619,27,,294,287255
17-02-2021,739,1560794,259,578360,28,,296,286959
16-02-2021,754,1560040,262,578098,29,,301,286658
15-02-2021,767,1559273,267,577831,30,,307,286351
14-02-2021,795,1558478,271,577560,32,,307,286044
13-02-2021,793,1557685,273,577287,35,,306,285738
12-02-2021,792,1556893,272,577015,36,,303,285435
11-02-2021,798,1556095,278,576737,38,,307,285128
10-02-2021,803,1555292,289,576448,41,,304,284824
09-02-2021,802,1554490,295,576153,45,,306,284518
08-02-2021,807,1553683,301,575852,47,,310,284208
07-02-2021,811,1552872,310,575542,52,,309,283899
06-02-2021,815,1552057,359,575183,58,,381,283518
05-02-2021,819,1551238,363,574820,67,,456,283062
04-02-2021,821,1550417,389,574431,91,,560,282502
03-02-2021,839,1549578,432,573999,186,,753,281749
02-02-2021,845,1548733,431,573568,184,,761,280988
01-02-2021,854,1547879,441,573127,187,,769,280219
31-01-2021,864,1547015,465,572662,190,,785,279434
30-01-2021,869,1546146,472,572190,200,,791,278643
29-01-2021,867,1545279,475,571715,203,,796,277847
28-01-2021,871,1544408,472,571243,204,,801,277046
27-01-2021,875,1543533,478,570765,203,,798,276248
26-01-2021,880,1542653,483,570282,206,,805,275443
25-01-2021,898,1541755,504,569778,209,,813,274630
24-01-2021,902,1540853,518,569260,212,,822,273808
23-01-2021,906,1539947,533,568727,216,,849,272959
22-01-2021,910,1539037,543,568184,222,,856,272103
21-01-2021,919,1538118,578,567606,221,,871,271232
20-01-2021,916,1537202,596,567010,229,,887,270345
19-01-2021,933,1536269,640,566370,243,,912,269433
18-01-2021,954,1535315,649,565721,249,,933,268500
17-01-2021,969,1534346,666,565055,255,,946,267554
16-01-2021,972,1533374,672,564383,258,,955,266599
15-01-2021,978,1532396,671,563712,257,,960,265639
14-01-2021,980,1531416,678,563034,259,,976,264663
13-01-2021,997,1530419,682,562352,260,,979,263684
12-01-2021,1008,1529411,691,561661,261,,990,262694
11-01-2021,1014,1528397,693,560968,263,,989,261705
10-01-2021,1066,1527331,698,560270,262,,998,260707
09-01-2021,1097,1526234,702,559568,265,,1012,259695
08-01-2021,1109,1525125,713,558855,266,,1038,258657
07-01-2021,1132,1523993,719,558136,268,,1045,257612
06-01-2021,1186,1522807,725,557411,270,,1081,256531
05-01-2021,1205,1521602,733,556678,269,,1098,255433
04-01-2021,1276,1520326,741,555937,266,,1154,254279
03-01-2021,1365,1518961,745,555192,265,,1189,253090
02-01-2021,1395,1517566,767,554425,267,,1207,
01-01-2021,1481,1516085,774,553651,273,,1232,250651
31-12-2020,1493,1514592,791,552860,275,,1280,249371
30-12-2020,1511,1513081,823,552037,278,,1275,
29-12-2020,1540,1511541,877,551160,282,,1291,246805
28-12-2020,1567,1509974,952,550208,282,,1269,245536
27-12-2020,1574,1508400,1066,549142,287,,1161,244375
26-12-2020,1603,1506797,1167,547975,291,,1277,243098
25-12-2020,1615,1505182,1278,546697,293,,1351,241747
24-12-2020,1621,1503561,1365,545332,292,,1477,240270
23-12-2020,1671,1501890,1433,543899,296,,1564,238706
22-12-2020,1687,1500203,1556,542343,298,,1671,237035
21-12-2020,1712,1498491,1709,540634,303,,1729,235306
20-12-2020,1765,1496726,1756,538878,309,,1732,233574
19-12-2020,1789,1494937,1802,537076,310,,1744,231830
18-12-2020,1823,1493114,1811,535265,309,,1754,230076
17-12-2020,1878,1491236,1864,533401,312,,1721,228355
16-12-2020,1944,1489292,1872,531529,314,,1731,226624
15-12-2020,1921,1487371,1977,529552,321,,1792,224832
14-12-2020,1989,1485382,2055,527497,323,,1842,222990
13-12-2020,2031,1483351,2073,525424,326,,1897,221093
12-12-2020,2078,1481273,2166,523258,328,,1979,219114
11-12-2020,2193,1479080,2247,521011,333,,2088,217026
10-12-2020,2267,1476813,2310,518701,335,,2181,214845
09-12-2020,2319,1474494,2390,516311,338,,2271,212574
08-12-2020,2392,1472102,2468,513843,346,,2355,210219
07-12-2020,2457,1469645,2522,511321,366,,2482,207737
06-12-2020,2476,1467169,2591,508730,375,,2491,205246
05-12-2020,2481,1464688,2519,506211,381,,2530,202716
04-12-2020,2478,1462210,2524,503687,386,,2593,200123
03-12-2020,2493,1459717,2576,501111,393,,2610,197513
02-12-2020,2523,1457194,2604,498507,392,,2633,194880
