date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-05-03,fg sahib,111,12.83,,"43 new cases (ili), 68 new cases",,5354,588,4617,149
2021-05-03,tarn taran,69,7.57,,69  new cases,,5797,917,4655,225
2021-05-03,moga,66,4.72,,66 new cases,,5639,1298,4212,129
2021-05-03,mansa,296,11.85,,296 new cases,,7233,2381,4772,80
2021-05-03,barnala,85,13.04,,85  new cases,,3841,481,3257,103
2021-05-03,total,,,,,,392042,60709,321861,9472
2021-05-02,ludhiana,1404,17.61,,"64 contact of positive case, 217 new cases (opd), 781 new cases (ili), 6 healthcare worker, 336 new cases",,57590,9870,46310,1410
2021-05-02,jalandhar,725,11.42,,725 new cases,,44208,4729,38381,1098
2021-05-02,sas nagar,1045,28.51,,"24 contacts of positive case, 212 new case (ili), 809 new cases",,48551,9233,38708,610
2021-05-02,patiala,602,12.35,,"59 contacts of positive case, 543 new cases",,34165,4118,29249,798
2021-05-02,amritsar,344,7.81,,344 new cases,,33081,5010,27086,985
2021-05-02,hoshiarpur,266,8.19,,"40 contacts of positive case,19 new case (ili), 207 new cases",,20905,1912,18253,740
2021-05-02,bathinda,582,12.85,,"11 contact of positive case, 81 new cases (ili), 490 new cases",,21897,5228,16283,386
2021-05-02,gurdaspur,186,6.76,,"23 contact of positive case, 15 new cases (ili), 148 new cases",,15796,1468,13802,526
2021-05-02,kapurthala,107,6.13,,107 new cases,,12584,1072,11174,338
2021-05-02,sbs nagar,64,6.36,,"3 new cases (ili), 61 new cases",,8890,547,8100,243
2021-05-02,pathankot,165,5.59,,"36 new cases (ili), 129 new cases",,10416,1659,8537,220
2021-05-02,sangrur,209,6.47,,209 new cases,,8969,1472,7141,356
2021-05-02,ferozepur,80,2.76,,80 new cases,,7894,1162,6503,229
2021-05-02,ropar,158,10.84,,158 new cases,,8573,1429,6875,269
2021-05-02,faridkot,151,8.41,,151  new cases,,7902,1360,6414,128
2021-05-02,fazilka,373,19.6,,"89 contact of positive case, 69 new case (ili), 215 new cases",,8274,2145,5979,150
2021-05-02,muktsar,247,19.31,,"65 new cases (ili), 182 new cases",,8338,2246,5934,158
2021-05-02,fg sahib,98,10.06,,"37 new cases (ili), 61 new cases",,5243,479,4617,147
2021-05-02,tarn taran,15,1.31,,15 new cases,,5728,949,4559,220
2021-05-02,moga,89,11.66,,89 new cases,,5573,1254,4191,128
2021-05-02,mansa,372,32.8,,372 new cases,,6937,2278,4581,78
2021-05-02,barnala,45,6.21,,45  new cases,,3756,488,3168,100
2021-05-02,total,,,,,,385270,60108,315845,9317
2021-05-01,ludhiana,1600,14.7,,"92 contact of positive case, 235 new cases (opd), 802 new cases (ili), 8 healthcare worker, 463 new cases",,56186,8839,45954,1393
2021-05-01,jalandhar,566,8.64,,566 new cases,,43483,4460,37933,1090
2021-05-01,sas nagar,936,24.58,,"20 contacts of positive case, 149 new case (ili), 767 new cases",,47506,9170,37733,603
2021-05-01,patiala,562,12.6,,"45 contacts of positive case, 517 new cases",,33592,4024,28779,789
2021-05-01,amritsar,229,4.63,,229 new cases,,32737,5141,26626,970
2021-05-01,hoshiarpur,221,7.3,,"38 contacts of positive case,17 new case (ili), 166 new cases",,20639,1933,17973,733
2021-05-01,bathinda,653,15.19,,"6 contact of positive case, 87 new cases (ili), 560 new cases",,21315,5141,15806,368
2021-05-01,gurdaspur,181,5.38,,"20 contact of positive case, 10 new cases (ili), 151 new cases",,15616,1487,13614,515
2021-05-01,kapurthala,129,6.49,,129 new cases,,12478,1022,11120,336
2021-05-01,sbs nagar,51,3.1,,"3 new cases (ili), 48 new cases",,8826,524,8059,243
2021-05-01,pathankot,242,9.44,,"62 new cases (ili), 180 new cases",,10251,1662,8372,217
2021-05-01,sangrur,195,7.59,,195 new cases,,8760,1451,6965,344
2021-05-01,ferozepur,180,8.16,,180 new cases,,7814,1243,6346,225
2021-05-01,ropar,193,15.48,,193 new cases,,8415,1410,6739,266
2021-05-01,faridkot,144,10.42,,144  new cases,,7755,1315,6317,123
2021-05-01,fazilka,368,20.55,,"76 contact of positive case, 59 new case (ili), 233 new cases",,7906,1921,5848,137
