date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-05-06,amritsar,492,10.26,,492 new cases,,35600,5437,29106,1057
2021-05-06,hoshiarpur,237,7.47,,"48 contacts of positive case, 19 new case (ili), 170 new cases",,21912,2052,19096,764
2021-05-06,bathinda,847,19.6,,"25 contact of positive case, 142 new cases (ili), 680 new cases",,24861,5592,18821,448
2021-05-06,gurdaspur,294,9.64,,"47 contact of positive case, 31 new cases (ili), 216 new cases",,16603,1583,14477,543
2021-05-06,kapurthala,240,10.98,,240 new cases,,13112,1081,11677,354
2021-05-06,sbs nagar,149,8.42,,"19 new cases (ili), 130 new cases",,9303,751,8303,249
2021-05-06,pathankot,489,16.7,,489 new cases,,11625,2081,9296,248
2021-05-06,sangrur,259,8.19,,259 new cases,,9925,1878,7634,413
2021-05-06,ferozepur,224,15.81,,224 new cases,,8398,1249,6907,242
2021-05-06,ropar,135,9.39,,135 new cases,,9107,1593,7240,274
2021-05-06,faridkot,211,13.01,,211 new cases,,8516,1456,6918,142
2021-05-06,fazilka,373,24.48,,"76 contact of positive case, 76 new case (ili), 221 new cases",,9485,2546,6752,187
2021-05-06,muktsar,286,14.26,,"49 new cases (ili), 237 new cases",,9575,2676,6706,193
2021-05-06,fg sahib,134,9.17,,"45 new cases (ili), 89 new cases",,5671,718,4797,156
2021-05-06,tarn taran,30,2.9,,30 new cases,,5991,796,4964,231
2021-05-06,moga,109,8.85,,109 new cases,,6054,1498,4418,138
2021-05-06,mansa,533,14.91,,533 new cases,,8189,2724,5375,90
2021-05-06,barnala,28,2.98,,28  new cases,,3938,440,3386,112
2021-05-06,total,,,,,,416350,66568,339803,9979
2021-05-05,ludhiana,1186,10.92,,"63 contact of positive case, 199 new cases (opd), 621 new cases (ili), 2 healthcare worker, 301 new cases",,61321,10778,49073,1470
2021-05-05,jalandhar,838,13.67,,838 new cases,,46454,5260,40072,1122
2021-05-05,sas nagar,1056,29.42,,"23 contacts of positive case, 269 new case (ili), 764 new cases",,50988,8701,41636,651
2021-05-05,patiala,696,10.74,,"45 contact of positive cases, 651 new cases",,35931,4157,30931,843
2021-05-05,amritsar,932,19.34,,932 new cases,,35108,5361,28715,1032
2021-05-05,hoshiarpur,361,10.52,,"80 contacts of positive case, 25 new case (ili), 256 new cases",,21675,2093,18820,762
2021-05-05,bathinda,692,15.61,,"15 contact of positive case, 130 new cases (ili), 547 new cases",,24014,5392,18183,439
2021-05-05,gurdaspur,100,3.6,,"19 contact of positive case, 9 new cases (ili), 72 new cases",,16329,1470,14320,539
2021-05-05,kapurthala,88,3,,88 new cases,,12872,968,11555,349
2021-05-05,sbs nagar,125,6.85,,"15 new cases (ili), 110 new cases",,9154,634,8271,249
2021-05-05,pathankot,100,5.51,,"63 new cases (ili), 37 new cases",,11136,1860,9033,243
2021-05-05,sangrur,248,8.84,,248 new cases,,9666,1631,7634,401
2021-05-05,ferozepur,56,3.1,,56 new cases,,8174,1090,6846,238
2021-05-05,ropar,191,15.26,,191 new cases,,8972,1558,7140,274
2021-05-05,faridkot,88,6.3,,88 new cases,,8305,1330,6833,142
2021-05-05,fazilka,317,14.81,,"89 contact of positive case, 45 new case (ili), 183 new cases",,9112,2420,6514,178
2021-05-05,muktsar,268,8.98,,268 new cases,,9289,2563,6543,183
2021-05-05,fg sahib,85,6.12,,"36 new cases (ili), 49 new cases",,5537,651,4733,153
2021-05-05,tarn taran,91,7.84,,91 new cases,,5961,849,4883,229
2021-05-05,moga,112,6.49,,112 new cases,,5945,1418,4394,133
2021-05-05,mansa,338,8.61,,338 new cases,,7656,2364,5207,85
2021-05-05,barnala,47,7.44,,47  new cases,,3910,459,3341,110
2021-05-05,total,,,,,,407509,63007,334677,9825
2021-05-04,ludhiana,1347,12.51,,"10 contact of positive case, 205 new cases (opd), 702 new cases (ili), 4 healthcare worker, 426  new cases",,60135,10316,48368,1451
2021-05-04,jalandhar,733,10.37,,733 new cases,,45638,5546,38979,1113
2021-05-04,sas nagar,847,32.89,,"22 contacts of positive case, 135 new case (ili), 690 new cases",,49932,8662,40636,634
2021-05-04,patiala,640,12.29,,640 new cases,,35254,4246,30184,824
2021-05-04,amritsar,674,21.11,,674 new cases,,34176,4997,28165,1014
2021-05-04,hoshiarpur,186,4.69,,"48 contacts of positive case,15 new case (ili), 123 new cases",,21314,1842,18717,755
2021-05-04,bathinda,803,22.58,,"20 contact of positive case, 127 new cases (ili), 656 new cases",,23323,5376,17528,419
2021-05-04,gurdaspur,192,6.15,,"23 contact of positive case, 17 new cases (ili), 152 new cases",,16235,1529,14171,535
2021-05-04,kapurthala,101,3.36,,101 new cases,,12784,1025,11414,345
2021-05-04,sbs nagar,77,7.56,,"15 new cases (ili), 62 new cases",,9029,561,8222,246
2021-05-04,pathankot,284,20.33,,284 new cases,,11036,1843,8956,237
2021-05-04,sangrur,209,8,,"16 contact of positive case, 93 new cases (ili), 100 new cases",,9418,1554,7482,382
2021-05-04,ferozepur,103,4.72,,103 new cases,,8131,1187,6708,236
2021-05-04,ropar,71,3.28,,71 new cases,,8781,1446,7061,274
2021-05-04,faridkot,189,9.89,,189 new cases,,8217,1401,6678,138
2021-05-04,fazilka,243,10.45,,"46 contact of positive case, 72 new case (ili), 125 new cases",,8795,2263,6364,168
2021-05-04,muktsar,429,14.43,,429 new cases,,9021,2603,6244,174
2021-05-04,fg sahib,98,8.87,,98 new cases,,5452,624,4677,151
2021-05-04,tarn taran,74,9.09,,74 new cases,,5871,852,4790,229
2021-05-04,moga,194,12.33,,194 new cases,,5833,1399,4302,132
2021-05-04,mansa,85,4.46,,85 new cases,,7318,2226,5010,82
2021-05-04,barnala,22,1.92,,22  new cases,,3863,437,3320,106
2021-05-04,total,,,,,,399556,61935,327976,9645
2021-05-03,ludhiana,1198,15.3,,"84 contact of positive case, 233 new cases (opd), 605 new cases (ili), 3 healthcare worker, 273 new cases",,58788,10309,47048,1431
2021-05-03,jalandhar,697,10.63,,697 new cases,,44905,4821,38979,1105
2021-05-03,sas nagar,534,18.99,,"33 contacts of positive case, 138 new case (ili), 363 new cases",,49085,8713,39750,622
2021-05-03,patiala,491,17.44,,"46 contacts of positive case, 445 new cases",,34650,4181,29661,808
2021-05-03,amritsar,421,10.91,,421 new cases,,33502,4718,27786,998
2021-05-03,hoshiarpur,223,5.62,,"75 contacts of positive case,15 new case (ili), 133 new cases",,21128,1925,18454,749
2021-05-03,bathinda,623,18.04,,"4 contact of positive case, 61 new cases (ili), 558 new cases",,22520,5253,16868,399
2021-05-03,gurdaspur,258,9.4,,"48 contact of positive case, 12 new cases (ili), 198 new cases",,16051,1561,13960,530
2021-05-03,kapurthala,105,4.38,,105 new cases,,12687,1070,11276,341
2021-05-03,sbs nagar,64,7.48,,"23 new cases (ili), 41 new cases",,8954,546,8163,245
2021-05-03,pathankot,336,19.32,,"57 new cases (ili), 279 new cases",,10752,1804,8717,231
2021-05-03,sangrur,240,11.68,,240 new cases,,9209,1470,7367,372
2021-05-03,ferozepur,134,6.26,,134 new cases,,8028,1233,6565,230
2021-05-03,ropar,160,16.49,,160 new cases,,8733,1516,6948,269
2021-05-03,faridkot,126,10.03,,126  new cases,,8028,1366,6530,132
2021-05-03,fazilka,307,17,,"75 contact of positive case, 71 new case (ili), 161 new cases",,8566,2270,6138,158
2021-05-03,muktsar,254,9.34,,"49 new cases (ili), 205 new cases",,8592,2288,6138,166
